date,totcase,totper-100,totper
23-Mar,468,23.076,46.152
24-Mar,519,9.826589595,19.65317919
25-Mar,606,14.35643564,28.71287128
26-Mar,694,12.68011527,25.36023054
27-Mar,834,16.78657074,33.57314148
28-Mar,918,9.150326797,18.30065359
29-Mar,1024,10.3515625,20.703125
30-Mar,1251,18.14548361,36.29096722
31-Mar,1397,10.45096636,20.90193272
01-Apr,1834,23.82769902,47.65539804
02-Apr,2069,11.35814403,22.71628806
03-Apr,2547,18.76717707,37.53435414
04-Apr,3072,17.08984375,34.1796875
05-Apr,3577,14.11797596,28.23595192
06-Apr,4281,16.4447559,32.8895118
07-Apr,4789,10.60764251,21.21528502
08-Apr,5274,9.196056124,18.39211225
09-Apr,5865,10.07672634,20.15345268
10-Apr,6761,13.25247744,26.50495488
11-Apr,7529,10.20055784,20.40111568
12-Apr,8447,10.8677637,21.7355274
13-Apr,9352,9.677074423,19.35414885
14-Apr,10815,13.52750809,27.05501618
15-Apr,11933,9.368976787,18.73795357
16-Apr,12759,6.473861588,12.94772318
17-Apr,13835,7.77737622,15.55475244
18-Apr,14792,6.469713359,12.93942672
19-Apr,16116,8.215438074,16.43087615
20-Apr,17656,8.722247395,17.44449479
21-Apr,18985,7.000263366,14.00052673
22-Apr,20471,7.259049387,14.51809877
23-Apr,21700,5.66359447,11.32718894
24-Apr,23452,7.470578202,14.9411564
25-Apr,24942,5.973859354,11.94771871
26-Apr,26917,7.337370435,14.67474087
27-Apr,28380,5.15503876,10.31007752
28-Apr,29974,5.317942217,10.63588443
29-Apr,31787,5.703589518,11.40717904
30-Apr,33610,5.423980958,10.84796192
01-May,35365,4.962533578,9.925067156
02-May,37776,6.38235917,12.76471834
03-May,40263,6.176886968,12.35377394
04-May,42836,6.006629937,12.01325987
05-May,46711,8.295690523,16.59138105
06-May,49391,5.426089773,10.85217955
07-May,52952,6.724958453,13.44991691
08-May,56342,6.016825814,12.03365163
09-May,59662,5.564681037,11.12936207
10-May,62939,5.20662864,10.41325728
11-May,67152,6.273826543,12.54765309
12-May,70756,5.09356097,10.18712194
13-May,74281,4.745493464,9.490986928
14-May,78003,4.771611348,9.543222696
15-May,81970,4.839575454,9.679150908
16-May,85940,4.619501978,9.239003956
17-May,90927,5.48461953,10.96923906
18-May,96169,5.450820951,10.9016419
19-May,101139,4.914029207,9.828058414
20-May,106750,5.256206089,10.51241218
21-May,112359,4.992034461,9.984068922
22-May,118447,5.139851579,10.27970316
23-May,125101,5.318902327,10.63780465
24-May,131868,5.131646798,10.2632936
25-May,138845,5.025027909,10.05005582
26-May,145380,4.495116247,8.990232494
27-May,151767,4.208424756,8.416849512
28-May,158333,4.146956099,8.293912198
29-May,165799,4.503042841,9.006085682
30-May,173763,4.583254203,9.166508406
31-May,182143,4.600780705,9.20156141
01-Jun,190535,4.404440129,8.808880258
02-Jun,198706,4.112105321,8.224210642
03-Jun,207615,4.291115767,8.582231534
04-Jun,216919,4.289158626,8.578317252
05-Jun,226770,4.344049036,8.688098072
06-Jun,236657,4.177776275,8.35555255
07-Jun,246628,4.042931054,8.085862108
08-Jun,256611,3.890324265,7.78064853
09-Jun,266598,3.746089618,7.492179236
10-Jun,276583,3.610127882,7.220255764
11-Jun,286579,3.488043437,6.976086874
12-Jun,297535,3.682255869,7.364511738
13-Jun,308993,3.708174619,7.416349238
14-Jun,320922,3.717102598,7.434205196
15-Jun,332424,3.460038986,6.920077972
16-Jun,343091,3.109087676,6.218175352
17-Jun,354065,3.099430895,6.19886179
18-Jun,366946,3.51032577,7.02065154
19-Jun,380532,3.570264787,7.140529574
20-Jun,395048,3.674490189,7.348980378
21-Jun,410461,3.755046155,7.51009231
22-Jun,425282,3.48498173,6.96996346
23-Jun,440215,3.392206081,6.784412162
