SL.No,date,analytics,anger,confident,sadness,fear,joy,total
1,15-Mar,190,183,150,30,40,49,642
2,17-Mar,244,156,138,55,39,57,689
3,18-Mar,185,182,141,57,39,56,660
4,20-Mar,162,145,117,40,37,69,570
5,21-Mar,213,149,124,28,49,68,631
6,23-Mar,173,103,123,36,39,73,547
7,24-Mar,174,131,116,68,48,62,599
8,26-Mar,175,175,133,68,45,47,643
9,27-Mar,179,149,135,69,45,50,627
10,29-Mar,171,131,115,67,33,61,578
11,31-Mar,186,156,129,71,42,51,635
12,01-Apr,159,153,140,60,39,49,600
13,03-Apr,170,152,111,51,37,59,580
14,04-Apr,172,136,123,51,33,67,582
15,06-Apr,159,132,105,45,28,69,538
16,07-Apr,167,170,97,55,40,65,594
17,09-Apr,180,166,150,52,41,62,651
18,10-Apr,147,115,102,61,25,53,503
19,12-Apr,147,124,120,58,47,48,544
20,14-Apr,176,125,108,62,41,51,563
21,15-Apr,221,173,142,65,35,82,718
22,16-Apr,187,162,135,61,34,100,679
23,17-Apr,185,153,127,69,36,60,630
24,18-Apr,163,125,162,58,30,96,634
25,19-Apr,189,151,162,82,41,81,706
26,20-Apr,175,165,143,71,36,90,680
27,21-Apr,211,166,151,80,39,76,723
28,22-Apr,203,157,149,81,44,77,711
29,23-Apr,174,139,130,67,32,91,633
30,24-Apr,169,133,141,70,25,75,613
31,25-Apr,197,131,154,75,38,74,669
32,26-Apr,175,136,157,52,39,80,639
33,27-Apr,141,131,106,59,36,53,526
34,28-Apr,151,142,134,69,36,78,610
35,29-Apr,155,147,112,55,40,68,577
36,30-Apr,210,126,141,58,29,73,637
37,01-May,178,135,116,55,53,55,592
38,02-May,145,120,132,61,46,52,556
39,04-May,267,198,201,91,64,73,894
40,05-May,250,190,191,94,65,78,868
41,06-May,278,223,180,115,49,104,949
42,07-May,59,49,50,25,11,26,220
43,08-May,251,175,201,106,54,110,897
44,09-May,274,157,202,114,50,104,901
45,10-May,288,201,232,120,44,100,985
46,11-May,275,185,240,81,55,88,924
47,12-May,293,159,257,65,63,136,973
48,13-May,278,222,189,91,49,110,939
49,14-May,256,187,190,110,58,91,892
50,15-May,268,226,173,100,60,130,957
51,16-May,346,211,202,138,60,181,1138
52,18-May,248,212,180,109,51,84,884
53,19-May,280,198,167,82,74,103,904
54,20-May,251,149,164,88,56,86,794
55,21-May,268,190,215,104,58,94,929
56,22-May,287,180,226,106,69,159,1027
57,23-May,243,206,160,139,63,109,920
58,24-May,242,198,205,90,59,106,900
59,25-May,245,203,200,104,66,95,913
60,26-May,308,209,214,76,74,92,973
61,27-May,264,176,181,92,69,96,878
62,28-May,231,197,157,84,77,78,824
63,29-May,233,231,173,88,72,78,875
64,30-May,249,201,189,73,60,114,886
65,31-May,163,136,123,99,32,53,606
66,01-Jun,152,123,131,57,32,60,555
67,02-Jun,146,111,111,39,32,66,505
68,03-Jun,171,153,139,52,37,63,615
69,05-Jun,145,154,158,84,39,72,652
70,06-Jun,169,146,128,88,40,56,627
71,07-Jun,180,116,128,51,47,63,585
72,08-Jun,157,99,101,58,33,51,499
73,09-Jun,156,134,109,67,27,61,554
74,11-Jun,175,143,123,105,30,51,627
75,12-Jun,180,139,118,101,41,50,629
76,13-Jun,123,140,120,60,41,54,538
77,14-Jun,154,139,115,94,30,58,590
78,15-Jun,173,131,122,49,45,50,570
79,17-Jun,171,155,143,64,66,63,662
80,18-Jun,165,112,144,50,56,65,592
81,19-Jun,155,117,166,65,55,81,639
82,20-Jun,139,120,126,85,62,69,601
83,21-Jun,120,146,179,71,64,87,667
84,23-Jun,160,126,117,45,44,69,561
